2025-10-20 22:40:28,966 INFO    MainThread:53133 [wandb_setup.py:_flush():81] Current SDK version is 0.22.2
2025-10-20 22:40:28,967 INFO    MainThread:53133 [wandb_setup.py:_flush():81] Configure stats pid to 53133
2025-10-20 22:40:28,967 INFO    MainThread:53133 [wandb_setup.py:_flush():81] Loading settings from /Users/danburke-ward/.config/wandb/settings
2025-10-20 22:40:28,967 INFO    MainThread:53133 [wandb_setup.py:_flush():81] Loading settings from /Users/danburke-ward/Outside/alt_back/wandb/settings
2025-10-20 22:40:28,967 INFO    MainThread:53133 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-10-20 22:40:28,967 INFO    MainThread:53133 [wandb_init.py:setup_run_log_directory():705] Logging user logs to /Users/danburke-ward/Outside/alt_back/wandb/run-20251020_224028-tsrbttn0/logs/debug.log
2025-10-20 22:40:28,967 INFO    MainThread:53133 [wandb_init.py:setup_run_log_directory():706] Logging internal logs to /Users/danburke-ward/Outside/alt_back/wandb/run-20251020_224028-tsrbttn0/logs/debug-internal.log
2025-10-20 22:40:28,967 INFO    MainThread:53133 [wandb_init.py:init():832] calling init triggers
2025-10-20 22:40:28,968 INFO    MainThread:53133 [wandb_init.py:init():837] wandb.init called with sweep_config: {}
config: {'epochs': 200, 'log_interval': 50, 'dataset': {'num_features': 5, 'threshold': 1.0, 'num_train': 4096, 'num_test': 1024, 'seed': 13, 'batch_size': 64, 'num_workers': 0, 'shuffle': True, 'feature_min': -1.5, 'feature_max': 2.5, 'noise_std': 0.0}, 'device': 'auto', 'model_type': 'spiking', 'learning_rule': 'concentration', 'release_rate': 0.25, 'reward_gain': 0.6, 'base_release': 0.1, 'decay': 0.05, 'temperature': 1.0, 'efficiency_bonus': 0.4, 'column_competition': 0.3, 'noise_std': 0.01, 'mass_budget': 5.0, 'spike_threshold': 0.1, 'spike_temperature': 0.3, 'hidden_layers': [12, 12, 8], 'signed_weights': True, 'use_target_bonus': True, 'target_gain': 0.5, 'affinity_strength': 0.1, 'affinity_decay': 0.99, 'affinity_temperature': 1.5, 'sign_consistency_strength': 0.2, 'sign_consistency_momentum': 0.9, 'push_rate': 0.3, 'suppress_rate': 0.05, 'step_scale': 0.02, 'energy_slope': 1.4, 'energy_momentum': 0.5, 'concentration_momentum': 0.85, 'loss_tolerance': 1e-05, 'weight_clamp': 6.5, 'direction_mode': 'outputs_minus_inputs', 'snapshot_interval': 1, 'evaluate_interval': 1, 'logging': {'enabled': True, 'project': 'alt-back', 'run_name': 'concentration-gradients', 'tags': ['concentration', 'energy-minimisation', 'gradient-free'], 'log_logits': True, 'log_probabilities': True, 'log_entropies': True, 'watch_log': 'all', 'watch_log_freq': 100}, '_wandb': {}}
2025-10-20 22:40:28,968 INFO    MainThread:53133 [wandb_init.py:init():880] starting backend
2025-10-20 22:40:29,200 INFO    MainThread:53133 [wandb_init.py:init():883] sending inform_init request
2025-10-20 22:40:29,225 INFO    MainThread:53133 [wandb_init.py:init():891] backend started and connected
2025-10-20 22:40:29,228 INFO    MainThread:53133 [wandb_init.py:init():961] updated telemetry
2025-10-20 22:40:29,246 INFO    MainThread:53133 [wandb_init.py:init():985] communicating run to backend with 90.0 second timeout
2025-10-20 22:40:29,831 INFO    MainThread:53133 [wandb_init.py:init():1036] starting run threads in backend
2025-10-20 22:40:29,854 INFO    MainThread:53133 [wandb_run.py:_console_start():2509] atexit reg
2025-10-20 22:40:29,854 INFO    MainThread:53133 [wandb_run.py:_redirect():2357] redirect: wrap_raw
2025-10-20 22:40:29,854 INFO    MainThread:53133 [wandb_run.py:_redirect():2426] Wrapping output streams.
2025-10-20 22:40:29,854 INFO    MainThread:53133 [wandb_run.py:_redirect():2449] Redirects installed.
2025-10-20 22:40:29,856 INFO    MainThread:53133 [wandb_init.py:init():1076] run started, returning control to user process
2025-10-20 22:40:29,858 INFO    wandb-AsyncioManager-main:53133 [service_client.py:_forward_responses():80] Reached EOF.
2025-10-20 22:40:29,858 INFO    wandb-AsyncioManager-main:53133 [mailbox.py:close():137] Closing mailbox, abandoning 2 handles.
